quad,eg_density,time,site
171,22,pre_project,project
172,32,pre_project,project
173,19,pre_project,project
174,28,pre_project,project
175,18,pre_project,project
176,20,pre_project,project
177,27,pre_project,project
178,23,pre_project,project
179,26,pre_project,project
180,20,pre_project,project
181,22,pre_project,project
182,18,pre_project,project
183,23,pre_project,project
184,28,pre_project,project
185,25,pre_project,project
186,24,pre_project,project
187,30,pre_project,project
188,30,pre_project,project
189,28,pre_project,project
190,24,pre_project,project
191,25,pre_project,project
192,30,pre_project,project
193,33,pre_project,project
194,20,pre_project,project
195,25,pre_project,project
196,22,pre_project,project
197,11,pre_project,project
198,23,pre_project,project
199,19,pre_project,project
200,28,pre_project,project
201,29,pre_project,project
202,17,pre_project,project
203,28,pre_project,project
204,22,pre_project,project
205,17,pre_project,project
206,28,pre_project,project
207,20,pre_project,project
208,22,pre_project,project
209,40,pre_project,project
210,30,pre_project,project
211,28,pre_project,project
212,29,pre_project,project
213,18,pre_project,project
214,35,pre_project,project
215,22,pre_project,project
216,24,pre_project,project
217,29,pre_project,project
218,32,pre_project,project
219,32,pre_project,project
220,27,pre_project,project
221,24,pre_project,project
222,13,pre_project,project
223,29,pre_project,project
224,23,pre_project,project
225,18,pre_project,project
226,24,pre_project,project
227,27,pre_project,project
228,20,pre_project,project
229,25,pre_project,project
230,20,pre_project,project
231,30,pre_project,project
232,22,pre_project,project
233,22,pre_project,project
234,25,pre_project,project
235,20,pre_project,project
236,23,pre_project,project
237,21,pre_project,project
238,27,pre_project,project
239,30,pre_project,project
240,26,pre_project,project
241,29,pre_project,project
242,24,pre_project,project
243,22,pre_project,project
244,23,pre_project,project
245,29,pre_project,project
246,25,pre_project,project
247,23,pre_project,project
248,24,pre_project,project
249,23,pre_project,project
250,27,pre_project,project
251,31,pre_project,project
252,27,pre_project,project
253,20,pre_project,project
254,25,pre_project,project
255,20,pre_project,project
256,23,pre_project,project
257,26,pre_project,project
258,19,pre_project,project
259,26,pre_project,project
260,17,pre_project,project
261,26,pre_project,project
262,24,pre_project,project
263,21,pre_project,project
264,31,pre_project,project
265,24,pre_project,project
266,24,pre_project,project
267,21,pre_project,project
268,19,pre_project,project
269,36,pre_project,project
270,26,pre_project,project
271,26,pre_project,project
272,16,pre_project,project
273,24,pre_project,project
274,30,pre_project,project
275,22,pre_project,project
276,21,pre_project,project
277,25,pre_project,project
278,26,pre_project,project
279,29,pre_project,project
280,20,pre_project,project
281,21,pre_project,project
282,25,pre_project,project
283,28,pre_project,project
284,24,pre_project,project
285,25,pre_project,project
286,24,pre_project,project
287,32,pre_project,project
288,22,pre_project,project
289,22,pre_project,project
290,24,pre_project,project
291,22,pre_project,project
292,19,pre_project,project
293,18,pre_project,project
294,29,pre_project,project
295,26,pre_project,project
296,17,pre_project,project
297,20,pre_project,project
298,32,pre_project,project
299,25,pre_project,project
300,26,pre_project,project
301,21,pre_project,project
302,23,pre_project,project
303,30,pre_project,project
304,23,pre_project,project
305,26,pre_project,project
306,36,pre_project,project
307,21,pre_project,project
308,20,pre_project,project
309,22,pre_project,project
310,31,pre_project,project
311,24,pre_project,project
312,25,pre_project,project
313,28,pre_project,project
314,21,pre_project,project
315,24,pre_project,project
316,25,pre_project,project
317,19,pre_project,project
318,23,pre_project,project
319,24,pre_project,project
320,18,pre_project,project
321,21,pre_project,project
322,19,pre_project,project
323,22,pre_project,project
324,24,pre_project,project
325,19,pre_project,project
326,22,pre_project,project
327,22,pre_project,project
328,24,pre_project,project
329,21,pre_project,project
330,30,pre_project,project
331,19,pre_project,project
332,23,pre_project,project
333,31,pre_project,project
334,27,pre_project,project
335,24,pre_project,project
336,23,pre_project,project
337,28,pre_project,project
338,23,pre_project,project
339,28,pre_project,project
340,16,pre_project,project
341,19,pre_project,project
342,23,pre_project,project
343,29,pre_project,project
344,17,pre_project,project
345,28,pre_project,project
346,28,pre_project,project
347,12,pre_project,project
348,29,pre_project,project
349,28,pre_project,project
350,32,pre_project,project
351,22,pre_project,project
352,30,pre_project,project
353,24,pre_project,project
354,30,pre_project,project
355,22,pre_project,project
356,21,pre_project,project
357,33,pre_project,project
358,21,pre_project,project
359,19,pre_project,project
360,24,pre_project,project
361,19,pre_project,project
362,21,pre_project,project
363,29,pre_project,project
364,23,pre_project,project
365,30,pre_project,project
366,25,pre_project,project
367,27,pre_project,project
368,12,pre_project,project
369,23,pre_project,project
370,20,pre_project,project
371,24,pre_project,project
372,29,pre_project,project
373,27,pre_project,project
374,28,pre_project,project
375,22,pre_project,project
376,27,pre_project,project
377,34,pre_project,project
378,21,pre_project,project
379,30,pre_project,project
380,19,pre_project,project
381,25,pre_project,project
382,20,pre_project,project
383,27,pre_project,project
384,19,pre_project,project
385,18,pre_project,project
386,19,pre_project,project
387,31,pre_project,project
388,32,pre_project,project
389,27,pre_project,project
390,0,pre_project,project
391,0,pre_project,project
392,0,pre_project,project
393,0,pre_project,project
394,0,pre_project,project
395,0,pre_project,project
396,0,pre_project,project
397,0,pre_project,project
398,0,pre_project,project
399,0,pre_project,project
400,0,pre_project,project
401,0,pre_project,project
402,0,pre_project,project
403,0,pre_project,project
404,0,pre_project,project
405,0,pre_project,project
406,0,pre_project,project
407,0,pre_project,project
408,0,pre_project,project
409,0,pre_project,project
410,0,pre_project,project
411,0,pre_project,project
412,0,pre_project,project
413,0,pre_project,project
414,0,pre_project,project
415,0,pre_project,project
416,0,pre_project,project
417,0,pre_project,project
418,0,pre_project,project
419,0,pre_project,project
420,0,pre_project,project
421,0,pre_project,project
422,0,pre_project,project
423,0,pre_project,project
424,0,pre_project,project
425,0,pre_project,project
426,0,pre_project,project
427,0,pre_project,project
428,0,pre_project,project
429,0,pre_project,project
430,0,pre_project,project
431,0,pre_project,project
432,0,pre_project,project
433,0,pre_project,project
434,0,pre_project,project
435,0,pre_project,project
436,0,pre_project,project
437,0,pre_project,project
438,0,pre_project,project
439,0,pre_project,project
440,0,pre_project,project
441,0,pre_project,project
442,0,pre_project,project
443,0,pre_project,project
444,0,pre_project,project
445,0,pre_project,project
446,0,pre_project,project
447,0,pre_project,project
448,0,pre_project,project
449,0,pre_project,project
450,0,pre_project,project
451,0,pre_project,project
452,0,pre_project,project
453,0,pre_project,project
454,0,pre_project,project
455,0,pre_project,project
456,0,pre_project,project
457,0,pre_project,project
458,0,pre_project,project
459,0,pre_project,project
460,0,pre_project,project
461,0,pre_project,project
462,0,pre_project,project
463,0,pre_project,project
464,0,pre_project,project
465,0,pre_project,project
466,0,pre_project,project
467,0,pre_project,project
468,0,pre_project,project
469,0,pre_project,project
470,0,pre_project,project
471,0,pre_project,project
472,0,pre_project,project
473,0,pre_project,project
474,0,pre_project,project
475,0,pre_project,project
476,0,pre_project,project
477,0,pre_project,project
478,0,pre_project,project
479,0,pre_project,project
480,0,pre_project,project
481,0,pre_project,project
482,0,pre_project,project
483,0,pre_project,project
484,0,pre_project,project
485,0,pre_project,project
486,0,pre_project,project
487,0,pre_project,project
488,0,pre_project,project
489,0,pre_project,project
490,0,pre_project,project
491,0,pre_project,project
492,0,pre_project,project
493,0,pre_project,project
494,0,pre_project,project
495,0,pre_project,project
496,0,pre_project,project
497,0,pre_project,project
498,0,pre_project,project
499,0,pre_project,project
500,0,pre_project,project
501,0,pre_project,project
502,0,pre_project,project
503,0,pre_project,project
504,0,pre_project,project
505,0,pre_project,project
506,0,pre_project,project
507,0,pre_project,project
508,0,pre_project,project
509,0,pre_project,project
510,0,pre_project,project
511,0,pre_project,project
512,0,pre_project,project
513,0,pre_project,project
514,0,pre_project,project
515,0,pre_project,project
516,0,pre_project,project
517,0,pre_project,project
518,0,pre_project,project
519,0,pre_project,project
520,0,pre_project,project
521,0,pre_project,project
522,0,pre_project,project
523,0,pre_project,project
524,0,pre_project,project
525,0,pre_project,project
526,0,pre_project,project
527,0,pre_project,project
528,0,pre_project,project
529,0,pre_project,project
530,0,pre_project,project
531,0,pre_project,project
532,0,pre_project,project
533,0,pre_project,project
534,0,pre_project,project
535,0,pre_project,project
536,0,pre_project,project
537,0,pre_project,project
538,0,pre_project,project
539,0,pre_project,project
540,0,pre_project,project
541,0,pre_project,project
542,0,pre_project,project
543,0,pre_project,project
544,0,pre_project,project
545,0,pre_project,project
546,0,pre_project,project
547,0,pre_project,project
548,0,pre_project,project
549,0,pre_project,project
550,0,pre_project,project
551,0,pre_project,project
552,0,pre_project,project
553,0,pre_project,project
554,0,pre_project,project
555,0,pre_project,project
556,0,pre_project,project
557,0,pre_project,project
558,0,pre_project,project
559,0,pre_project,project
560,0,pre_project,project
561,0,pre_project,project
562,0,pre_project,project
563,0,pre_project,project
564,0,pre_project,project
565,0,pre_project,project
566,0,pre_project,project
567,0,pre_project,project
568,0,pre_project,project
569,0,pre_project,project
570,0,pre_project,project
571,0,pre_project,project
572,0,pre_project,project
573,0,pre_project,project
574,0,pre_project,project
575,0,pre_project,project
576,0,pre_project,project
577,0,pre_project,project
578,0,pre_project,project
579,0,pre_project,project
580,0,pre_project,project
581,0,pre_project,project
582,0,pre_project,project
583,0,pre_project,project
584,0,pre_project,project
585,0,pre_project,project
586,0,pre_project,project
587,0,pre_project,project
588,0,pre_project,project
589,0,pre_project,project
590,0,pre_project,project
591,0,pre_project,project
592,0,pre_project,project
593,0,pre_project,project
594,0,pre_project,project
595,0,pre_project,project
596,0,pre_project,project
597,0,pre_project,project
598,0,pre_project,project
599,0,pre_project,project
600,0,pre_project,project
601,0,pre_project,project
602,0,pre_project,project
603,0,pre_project,project
604,0,pre_project,project
605,0,pre_project,project
606,0,pre_project,project
607,0,pre_project,project
608,0,pre_project,project
609,0,pre_project,project
610,0,pre_project,project
611,0,pre_project,project
612,0,pre_project,project
613,0,pre_project,project
614,0,pre_project,project
615,0,pre_project,project
616,0,pre_project,project
617,0,pre_project,project
618,0,pre_project,project
619,0,pre_project,project
620,0,pre_project,project
621,0,pre_project,project
622,0,pre_project,project
623,0,pre_project,project
624,0,pre_project,project
625,0,pre_project,project
626,0,pre_project,project
627,0,pre_project,project
628,0,pre_project,project
629,0,pre_project,project
630,0,pre_project,project
631,0,pre_project,project
632,0,pre_project,project
633,0,pre_project,project
634,0,pre_project,project
635,0,pre_project,project
636,0,pre_project,project
637,0,pre_project,project
638,0,pre_project,project
639,0,pre_project,project
640,0,pre_project,project
641,0,pre_project,project
642,0,pre_project,project
643,0,pre_project,project
644,0,pre_project,project
645,0,pre_project,project
646,0,pre_project,project
647,0,pre_project,project
648,0,pre_project,project
649,0,pre_project,project
650,0,pre_project,project
651,0,pre_project,project
652,0,pre_project,project
653,0,pre_project,project
654,0,pre_project,project
655,0,pre_project,project
656,0,pre_project,project
657,0,pre_project,project
658,0,pre_project,project
659,0,pre_project,project
660,0,pre_project,project
661,0,pre_project,project
662,0,pre_project,project
663,0,pre_project,project
664,0,pre_project,project
665,0,pre_project,project
666,0,pre_project,project
667,0,pre_project,project
668,0,pre_project,project
669,0,pre_project,project
670,0,pre_project,project
671,0,pre_project,project
672,0,pre_project,project
673,0,pre_project,project
674,0,pre_project,project
675,0,pre_project,project
676,0,pre_project,project
677,0,pre_project,project
678,0,pre_project,project
679,0,pre_project,project
680,0,pre_project,project
681,0,pre_project,project
682,0,pre_project,project
683,0,pre_project,project
684,0,pre_project,project
685,0,pre_project,project
686,0,pre_project,project
687,0,pre_project,project
688,0,pre_project,project
689,0,pre_project,project
690,0,pre_project,project
691,0,pre_project,project
692,0,pre_project,project
693,0,pre_project,project
694,0,pre_project,project
695,0,pre_project,project
696,0,pre_project,project
697,0,pre_project,project
698,0,pre_project,project
699,0,pre_project,project
700,0,pre_project,project
701,0,pre_project,project
702,0,pre_project,project
703,0,pre_project,project
704,0,pre_project,project
705,0,pre_project,project
706,0,pre_project,project
707,0,pre_project,project
708,0,pre_project,project
709,0,pre_project,project
710,0,pre_project,project
711,0,pre_project,project
712,0,pre_project,project
713,0,pre_project,project
714,0,pre_project,project
715,0,pre_project,project
716,0,pre_project,project
717,0,pre_project,project
718,0,pre_project,project
719,0,pre_project,project
720,0,pre_project,project
721,0,pre_project,project
722,0,pre_project,project
723,0,pre_project,project
724,0,pre_project,project
725,0,pre_project,project
726,0,pre_project,project
727,0,pre_project,project
728,0,pre_project,project
729,0,pre_project,project
730,0,pre_project,project
731,0,pre_project,project
732,0,pre_project,project
733,0,pre_project,project
734,0,pre_project,project
735,0,pre_project,project
736,0,pre_project,project
737,0,pre_project,project
738,0,pre_project,project
739,0,pre_project,project
740,0,pre_project,project
741,0,pre_project,project
742,0,pre_project,project
743,0,pre_project,project
744,0,pre_project,project
745,0,pre_project,project
746,0,pre_project,project
747,0,pre_project,project
748,0,pre_project,project
749,0,pre_project,project
750,0,pre_project,project
751,0,pre_project,project
752,0,pre_project,project
753,0,pre_project,project
754,0,pre_project,project
755,0,pre_project,project
756,0,pre_project,project
757,0,pre_project,project
758,0,pre_project,project
759,0,pre_project,project
760,0,pre_project,project
761,0,pre_project,project
762,0,pre_project,project
763,0,pre_project,project
764,0,pre_project,project
765,0,pre_project,project
766,0,pre_project,project
767,0,pre_project,project
768,0,pre_project,project
769,0,pre_project,project
770,0,pre_project,project
771,0,pre_project,project
772,0,pre_project,project
773,0,pre_project,project
774,0,pre_project,project
775,0,pre_project,project
776,0,pre_project,project
777,0,pre_project,project
778,0,pre_project,project
779,0,pre_project,project
780,0,pre_project,project
781,0,pre_project,project
782,0,pre_project,project
783,0,pre_project,project
784,0,pre_project,project
785,0,pre_project,project
786,0,pre_project,project
787,0,pre_project,project
788,0,pre_project,project
789,0,pre_project,project
790,0,pre_project,project
791,0,pre_project,project
792,0,pre_project,project
793,0,pre_project,project
794,0,pre_project,project
795,0,pre_project,project
796,0,pre_project,project
1,26,1_year_post,project
2,21,1_year_post,project
3,26,1_year_post,project
4,15,1_year_post,project
5,23,1_year_post,project
6,23,1_year_post,project
7,17,1_year_post,project
8,17,1_year_post,project
9,20,1_year_post,project
10,21,1_year_post,project
11,24,1_year_post,project
12,23,1_year_post,project
13,18,1_year_post,project
14,23,1_year_post,project
15,19,1_year_post,project
16,18,1_year_post,project
17,24,1_year_post,project
18,20,1_year_post,project
19,20,1_year_post,project
20,26,1_year_post,project
21,19,1_year_post,project
22,21,1_year_post,project
23,16,1_year_post,project
24,20,1_year_post,project
25,28,1_year_post,project
26,21,1_year_post,project
27,14,1_year_post,project
28,33,1_year_post,project
29,21,1_year_post,project
30,37,1_year_post,project
31,22,1_year_post,project
32,20,1_year_post,project
33,17,1_year_post,project
34,25,1_year_post,project
35,22,1_year_post,project
36,21,1_year_post,project
37,26,1_year_post,project
38,29,1_year_post,project
39,32,1_year_post,project
40,22,1_year_post,project
41,31,1_year_post,project
42,28,1_year_post,project
43,12,1_year_post,project
44,21,1_year_post,project
45,16,1_year_post,project
46,26,1_year_post,project
47,17,1_year_post,project
48,18,1_year_post,project
49,19,1_year_post,project
50,26,1_year_post,project
51,20,1_year_post,project
52,23,1_year_post,project
53,15,1_year_post,project
54,19,1_year_post,project
55,28,1_year_post,project
56,22,1_year_post,project
57,18,1_year_post,project
58,24,1_year_post,project
59,28,1_year_post,project
60,26,1_year_post,project
61,25,1_year_post,project
62,21,1_year_post,project
63,20,1_year_post,project
64,25,1_year_post,project
65,30,1_year_post,project
66,24,1_year_post,project
67,16,1_year_post,project
68,25,1_year_post,project
69,19,1_year_post,project
70,20,1_year_post,project
71,22,1_year_post,project
72,26,1_year_post,project
73,23,1_year_post,project
74,21,1_year_post,project
75,26,1_year_post,project
76,29,1_year_post,project
77,23,1_year_post,project
78,27,1_year_post,project
79,23,1_year_post,project
80,30,1_year_post,project
81,16,1_year_post,project
82,26,1_year_post,project
83,29,1_year_post,project
84,25,1_year_post,project
85,28,1_year_post,project
86,30,1_year_post,project
87,13,1_year_post,project
88,22,1_year_post,project
89,23,1_year_post,project
90,15,1_year_post,project
91,21,1_year_post,project
92,20,1_year_post,project
93,24,1_year_post,project
94,23,1_year_post,project
95,16,1_year_post,project
96,20,1_year_post,project
97,24,1_year_post,project
98,30,1_year_post,project
99,25,1_year_post,project
100,28,1_year_post,project
101,20,1_year_post,project
102,27,1_year_post,project
103,29,1_year_post,project
104,29,1_year_post,project
105,19,1_year_post,project
106,20,1_year_post,project
107,22,1_year_post,project
108,29,1_year_post,project
109,24,1_year_post,project
110,19,1_year_post,project
111,28,1_year_post,project
112,25,1_year_post,project
113,16,1_year_post,project
114,24,1_year_post,project
115,23,1_year_post,project
116,32,1_year_post,project
117,17,1_year_post,project
118,20,1_year_post,project
119,13,1_year_post,project
120,23,1_year_post,project
121,26,1_year_post,project
122,33,1_year_post,project
123,18,1_year_post,project
124,22,1_year_post,project
125,34,1_year_post,project
126,16,1_year_post,project
127,18,1_year_post,project
128,26,1_year_post,project
129,15,1_year_post,project
130,24,1_year_post,project
131,31,1_year_post,project
132,29,1_year_post,project
133,19,1_year_post,project
134,19,1_year_post,project
135,22,1_year_post,project
136,20,1_year_post,project
137,25,1_year_post,project
138,31,1_year_post,project
139,21,1_year_post,project
140,17,1_year_post,project
141,21,1_year_post,project
142,21,1_year_post,project
143,26,1_year_post,project
144,19,1_year_post,project
145,15,1_year_post,project
146,19,1_year_post,project
147,25,1_year_post,project
148,16,1_year_post,project
149,26,1_year_post,project
150,17,1_year_post,project
151,27,1_year_post,project
152,19,1_year_post,project
153,17,1_year_post,project
154,17,1_year_post,project
155,19,1_year_post,project
156,25,1_year_post,project
157,21,1_year_post,project
158,24,1_year_post,project
159,24,1_year_post,project
160,32,1_year_post,project
161,21,1_year_post,project
162,25,1_year_post,project
163,16,1_year_post,project
164,21,1_year_post,project
165,23,1_year_post,project
166,31,1_year_post,project
167,28,1_year_post,project
168,16,1_year_post,project
169,29,1_year_post,project
170,20,1_year_post,project
171,21,1_year_post,project
172,27,1_year_post,project
173,27,1_year_post,project
174,19,1_year_post,project
175,31,1_year_post,project
176,27,1_year_post,project
177,31,1_year_post,project
178,20,1_year_post,project
179,16,1_year_post,project
180,31,1_year_post,project
181,28,1_year_post,project
182,17,1_year_post,project
183,20,1_year_post,project
184,21,1_year_post,project
185,29,1_year_post,project
186,25,1_year_post,project
187,28,1_year_post,project
188,21,1_year_post,project
189,18,1_year_post,project
190,30,1_year_post,project
191,28,1_year_post,project
192,31,1_year_post,project
193,25,1_year_post,project
194,31,1_year_post,project
195,19,1_year_post,project
196,26,1_year_post,project
197,42,1_year_post,project
198,21,1_year_post,project
199,20,1_year_post,project
200,27,1_year_post,project
201,26,1_year_post,project
202,19,1_year_post,project
203,22,1_year_post,project
204,22,1_year_post,project
205,23,1_year_post,project
206,20,1_year_post,project
207,18,1_year_post,project
208,18,1_year_post,project
209,22,1_year_post,project
210,23,1_year_post,project
211,20,1_year_post,project
212,16,1_year_post,project
213,31,1_year_post,project
214,12,1_year_post,project
215,24,1_year_post,project
216,22,1_year_post,project
217,25,1_year_post,project
218,30,1_year_post,project
219,22,1_year_post,project
220,23,1_year_post,project
221,18,1_year_post,project
222,10,1_year_post,project
223,25,1_year_post,project
224,18,1_year_post,project
225,20,1_year_post,project
226,24,1_year_post,project
227,20,1_year_post,project
228,26,1_year_post,project
229,30,1_year_post,project
230,11,1_year_post,project
231,20,1_year_post,project
232,25,1_year_post,project
233,26,1_year_post,project
234,16,1_year_post,project
235,21,1_year_post,project
236,22,1_year_post,project
237,22,1_year_post,project
238,29,1_year_post,project
239,30,1_year_post,project
240,25,1_year_post,project
241,18,1_year_post,project
242,32,1_year_post,project
243,26,1_year_post,project
244,29,1_year_post,project
245,28,1_year_post,project
246,24,1_year_post,project
247,30,1_year_post,project
248,23,1_year_post,project
249,24,1_year_post,project
250,25,1_year_post,project
251,17,1_year_post,project
252,15,1_year_post,project
253,27,1_year_post,project
254,24,1_year_post,project
255,27,1_year_post,project
256,20,1_year_post,project
257,15,1_year_post,project
258,22,1_year_post,project
259,21,1_year_post,project
260,21,1_year_post,project
261,30,1_year_post,project
262,23,1_year_post,project
263,32,1_year_post,project
264,16,1_year_post,project
265,24,1_year_post,project
266,28,1_year_post,project
267,21,1_year_post,project
268,26,1_year_post,project
269,20,1_year_post,project
270,20,1_year_post,project
271,25,1_year_post,project
272,22,1_year_post,project
273,25,1_year_post,project
274,27,1_year_post,project
275,21,1_year_post,project
276,26,1_year_post,project
277,24,1_year_post,project
278,27,1_year_post,project
279,35,1_year_post,project
280,18,1_year_post,project
281,18,1_year_post,project
282,25,1_year_post,project
283,21,1_year_post,project
284,24,1_year_post,project
285,27,1_year_post,project
286,26,1_year_post,project
287,21,1_year_post,project
288,24,1_year_post,project
289,28,1_year_post,project
290,24,1_year_post,project
291,24,1_year_post,project
292,23,1_year_post,project
293,19,1_year_post,project
294,28,1_year_post,project
295,27,1_year_post,project
296,20,1_year_post,project
297,24,1_year_post,project
298,25,1_year_post,project
299,15,1_year_post,project
300,22,1_year_post,project
301,17,1_year_post,project
302,25,1_year_post,project
303,26,1_year_post,project
304,30,1_year_post,project
305,22,1_year_post,project
306,27,1_year_post,project
307,25,1_year_post,project
308,20,1_year_post,project
309,23,1_year_post,project
310,25,1_year_post,project
311,26,1_year_post,project
312,17,1_year_post,project
313,21,1_year_post,project
314,17,1_year_post,project
315,21,1_year_post,project
316,25,1_year_post,project
317,19,1_year_post,project
318,27,1_year_post,project
319,26,1_year_post,project
320,23,1_year_post,project
321,24,1_year_post,project
322,32,1_year_post,project
323,25,1_year_post,project
324,22,1_year_post,project
325,22,1_year_post,project
326,25,1_year_post,project
327,24,1_year_post,project
328,29,1_year_post,project
329,33,1_year_post,project
330,29,1_year_post,project
331,16,1_year_post,project
332,31,1_year_post,project
333,19,1_year_post,project
334,21,1_year_post,project
335,20,1_year_post,project
336,22,1_year_post,project
337,28,1_year_post,project
338,22,1_year_post,project
339,26,1_year_post,project
340,19,1_year_post,project
341,22,1_year_post,project
342,25,1_year_post,project
343,24,1_year_post,project
344,23,1_year_post,project
345,32,1_year_post,project
346,28,1_year_post,project
347,20,1_year_post,project
348,24,1_year_post,project
349,25,1_year_post,project
350,16,1_year_post,project
351,21,1_year_post,project
352,33,1_year_post,project
353,19,1_year_post,project
354,27,1_year_post,project
355,37,1_year_post,project
356,17,1_year_post,project
357,27,1_year_post,project
358,28,1_year_post,project
359,19,1_year_post,project
360,23,1_year_post,project
361,14,1_year_post,project
362,18,1_year_post,project
363,26,1_year_post,project
364,25,1_year_post,project
365,18,1_year_post,project
366,29,1_year_post,project
367,30,1_year_post,project
368,29,1_year_post,project
369,22,1_year_post,project
370,17,1_year_post,project
371,23,1_year_post,project
372,18,1_year_post,project
373,23,1_year_post,project
374,28,1_year_post,project
375,15,1_year_post,project
376,31,1_year_post,project
377,30,1_year_post,project
378,23,1_year_post,project
379,28,1_year_post,project
380,19,1_year_post,project
381,12,1_year_post,project
382,30,1_year_post,project
383,22,1_year_post,project
384,23,1_year_post,project
385,22,1_year_post,project
386,30,1_year_post,project
387,16,1_year_post,project
388,16,1_year_post,project
389,21,1_year_post,project
390,0,1_year_post,project
391,0,1_year_post,project
392,0,1_year_post,project
393,0,1_year_post,project
394,0,1_year_post,project
395,0,1_year_post,project
396,0,1_year_post,project
397,0,1_year_post,project
398,0,1_year_post,project
399,0,1_year_post,project
400,0,1_year_post,project
401,0,1_year_post,project
402,0,1_year_post,project
403,0,1_year_post,project
404,0,1_year_post,project
405,0,1_year_post,project
406,0,1_year_post,project
407,0,1_year_post,project
408,0,1_year_post,project
409,0,1_year_post,project
410,0,1_year_post,project
411,0,1_year_post,project
412,0,1_year_post,project
413,0,1_year_post,project
414,0,1_year_post,project
415,0,1_year_post,project
416,0,1_year_post,project
417,0,1_year_post,project
418,0,1_year_post,project
419,0,1_year_post,project
420,0,1_year_post,project
421,0,1_year_post,project
422,0,1_year_post,project
423,0,1_year_post,project
424,0,1_year_post,project
425,0,1_year_post,project
426,0,1_year_post,project
427,0,1_year_post,project
428,0,1_year_post,project
429,0,1_year_post,project
430,0,1_year_post,project
431,0,1_year_post,project
432,0,1_year_post,project
433,0,1_year_post,project
434,0,1_year_post,project
435,0,1_year_post,project
