"quad","density","time","site"
174,28,"pre","proj"
175,18,"pre","proj"
176,20,"pre","proj"
177,27,"pre","proj"
178,23,"pre","proj"
179,26,"pre","proj"
180,20,"pre","proj"
181,22,"pre","proj"
182,18,"pre","proj"
183,23,"pre","proj"
184,28,"pre","proj"
185,25,"pre","proj"
186,24,"pre","proj"
187,30,"pre","proj"
188,30,"pre","proj"
189,28,"pre","proj"
190,24,"pre","proj"
191,25,"pre","proj"
192,30,"pre","proj"
193,33,"pre","proj"
194,20,"pre","proj"
195,25,"pre","proj"
196,22,"pre","proj"
197,11,"pre","proj"
198,23,"pre","proj"
199,19,"pre","proj"
200,28,"pre","proj"
201,29,"pre","proj"
202,17,"pre","proj"
203,28,"pre","proj"
204,22,"pre","proj"
205,17,"pre","proj"
206,28,"pre","proj"
207,20,"pre","proj"
208,22,"pre","proj"
209,40,"pre","proj"
210,30,"pre","proj"
211,28,"pre","proj"
212,29,"pre","proj"
213,18,"pre","proj"
214,35,"pre","proj"
215,22,"pre","proj"
216,24,"pre","proj"
217,29,"pre","proj"
218,32,"pre","proj"
219,32,"pre","proj"
220,27,"pre","proj"
221,24,"pre","proj"
222,13,"pre","proj"
223,29,"pre","proj"
224,23,"pre","proj"
225,18,"pre","proj"
226,24,"pre","proj"
227,27,"pre","proj"
228,20,"pre","proj"
229,25,"pre","proj"
230,20,"pre","proj"
231,30,"pre","proj"
232,22,"pre","proj"
233,22,"pre","proj"
234,25,"pre","proj"
235,20,"pre","proj"
236,23,"pre","proj"
237,21,"pre","proj"
238,27,"pre","proj"
239,30,"pre","proj"
240,26,"pre","proj"
241,29,"pre","proj"
242,24,"pre","proj"
243,22,"pre","proj"
244,23,"pre","proj"
245,29,"pre","proj"
246,25,"pre","proj"
247,23,"pre","proj"
248,24,"pre","proj"
249,23,"pre","proj"
250,27,"pre","proj"
251,31,"pre","proj"
252,27,"pre","proj"
253,20,"pre","proj"
254,25,"pre","proj"
255,20,"pre","proj"
256,23,"pre","proj"
257,26,"pre","proj"
258,19,"pre","proj"
259,26,"pre","proj"
260,17,"pre","proj"
261,26,"pre","proj"
262,24,"pre","proj"
263,21,"pre","proj"
264,31,"pre","proj"
265,24,"pre","proj"
266,24,"pre","proj"
267,21,"pre","proj"
268,19,"pre","proj"
269,36,"pre","proj"
270,26,"pre","proj"
271,26,"pre","proj"
272,16,"pre","proj"
273,24,"pre","proj"
274,30,"pre","proj"
275,22,"pre","proj"
276,21,"pre","proj"
277,25,"pre","proj"
278,26,"pre","proj"
279,29,"pre","proj"
280,20,"pre","proj"
281,21,"pre","proj"
282,25,"pre","proj"
283,28,"pre","proj"
284,24,"pre","proj"
285,25,"pre","proj"
286,24,"pre","proj"
287,32,"pre","proj"
288,22,"pre","proj"
289,22,"pre","proj"
290,24,"pre","proj"
291,22,"pre","proj"
292,19,"pre","proj"
293,18,"pre","proj"
294,29,"pre","proj"
295,26,"pre","proj"
296,17,"pre","proj"
297,20,"pre","proj"
298,32,"pre","proj"
299,25,"pre","proj"
300,26,"pre","proj"
301,21,"pre","proj"
302,23,"pre","proj"
303,30,"pre","proj"
304,23,"pre","proj"
305,26,"pre","proj"
306,36,"pre","proj"
307,21,"pre","proj"
308,20,"pre","proj"
309,22,"pre","proj"
310,31,"pre","proj"
311,24,"pre","proj"
312,25,"pre","proj"
313,28,"pre","proj"
314,21,"pre","proj"
315,24,"pre","proj"
316,25,"pre","proj"
317,19,"pre","proj"
318,23,"pre","proj"
319,24,"pre","proj"
320,18,"pre","proj"
321,21,"pre","proj"
322,19,"pre","proj"
323,22,"pre","proj"
324,24,"pre","proj"
325,19,"pre","proj"
326,22,"pre","proj"
327,22,"pre","proj"
328,24,"pre","proj"
329,21,"pre","proj"
330,30,"pre","proj"
331,19,"pre","proj"
332,23,"pre","proj"
333,31,"pre","proj"
334,27,"pre","proj"
335,24,"pre","proj"
336,23,"pre","proj"
337,28,"pre","proj"
338,23,"pre","proj"
339,28,"pre","proj"
340,16,"pre","proj"
341,19,"pre","proj"
342,23,"pre","proj"
343,29,"pre","proj"
344,17,"pre","proj"
345,28,"pre","proj"
346,28,"pre","proj"
347,12,"pre","proj"
348,29,"pre","proj"
349,28,"pre","proj"
350,32,"pre","proj"
351,22,"pre","proj"
352,30,"pre","proj"
353,24,"pre","proj"
354,30,"pre","proj"
355,22,"pre","proj"
356,21,"pre","proj"
357,33,"pre","proj"
358,21,"pre","proj"
359,19,"pre","proj"
360,24,"pre","proj"
361,19,"pre","proj"
362,21,"pre","proj"
363,29,"pre","proj"
364,23,"pre","proj"
365,30,"pre","proj"
366,25,"pre","proj"
367,27,"pre","proj"
368,12,"pre","proj"
369,23,"pre","proj"
370,20,"pre","proj"
371,24,"pre","proj"
372,29,"pre","proj"
373,27,"pre","proj"
374,28,"pre","proj"
375,22,"pre","proj"
376,27,"pre","proj"
377,34,"pre","proj"
378,21,"pre","proj"
379,30,"pre","proj"
380,19,"pre","proj"
381,25,"pre","proj"
382,20,"pre","proj"
383,27,"pre","proj"
384,19,"pre","proj"
385,18,"pre","proj"
386,19,"pre","proj"
387,31,"pre","proj"
388,32,"pre","proj"
389,27,"pre","proj"
390,0,"pre","proj"
391,0,"pre","proj"
392,0,"pre","proj"
393,0,"pre","proj"
394,0,"pre","proj"
395,0,"pre","proj"
396,0,"pre","proj"
397,0,"pre","proj"
398,0,"pre","proj"
399,0,"pre","proj"
400,0,"pre","proj"
401,0,"pre","proj"
402,0,"pre","proj"
403,0,"pre","proj"
404,0,"pre","proj"
405,0,"pre","proj"
406,0,"pre","proj"
407,0,"pre","proj"
408,0,"pre","proj"
409,0,"pre","proj"
410,0,"pre","proj"
411,0,"pre","proj"
412,0,"pre","proj"
413,0,"pre","proj"
414,0,"pre","proj"
415,0,"pre","proj"
416,0,"pre","proj"
417,0,"pre","proj"
418,0,"pre","proj"
419,0,"pre","proj"
420,0,"pre","proj"
421,0,"pre","proj"
422,0,"pre","proj"
423,0,"pre","proj"
424,0,"pre","proj"
425,0,"pre","proj"
426,0,"pre","proj"
427,0,"pre","proj"
428,0,"pre","proj"
429,0,"pre","proj"
430,0,"pre","proj"
431,0,"pre","proj"
432,0,"pre","proj"
433,0,"pre","proj"
434,0,"pre","proj"
435,0,"pre","proj"
436,0,"pre","proj"
437,0,"pre","proj"
438,0,"pre","proj"
439,0,"pre","proj"
440,0,"pre","proj"
441,0,"pre","proj"
442,0,"pre","proj"
443,0,"pre","proj"
444,0,"pre","proj"
445,0,"pre","proj"
446,0,"pre","proj"
447,0,"pre","proj"
448,0,"pre","proj"
449,0,"pre","proj"
450,0,"pre","proj"
451,0,"pre","proj"
452,0,"pre","proj"
453,0,"pre","proj"
454,0,"pre","proj"
455,0,"pre","proj"
456,0,"pre","proj"
457,0,"pre","proj"
458,0,"pre","proj"
459,0,"pre","proj"
460,0,"pre","proj"
461,0,"pre","proj"
462,0,"pre","proj"
463,0,"pre","proj"
464,0,"pre","proj"
465,0,"pre","proj"
466,0,"pre","proj"
467,0,"pre","proj"
468,0,"pre","proj"
469,0,"pre","proj"
470,0,"pre","proj"
471,0,"pre","proj"
472,0,"pre","proj"
473,0,"pre","proj"
474,0,"pre","proj"
475,0,"pre","proj"
476,0,"pre","proj"
477,0,"pre","proj"
478,0,"pre","proj"
479,0,"pre","proj"
480,0,"pre","proj"
481,0,"pre","proj"
482,0,"pre","proj"
483,0,"pre","proj"
484,0,"pre","proj"
485,0,"pre","proj"
486,0,"pre","proj"
487,0,"pre","proj"
488,0,"pre","proj"
489,0,"pre","proj"
490,0,"pre","proj"
491,0,"pre","proj"
492,0,"pre","proj"
493,0,"pre","proj"
494,0,"pre","proj"
495,0,"pre","proj"
496,0,"pre","proj"
497,0,"pre","proj"
498,0,"pre","proj"
499,0,"pre","proj"
500,0,"pre","proj"
501,0,"pre","proj"
502,0,"pre","proj"
503,0,"pre","proj"
504,0,"pre","proj"
505,0,"pre","proj"
506,0,"pre","proj"
507,0,"pre","proj"
508,0,"pre","proj"
509,0,"pre","proj"
510,0,"pre","proj"
511,0,"pre","proj"
512,0,"pre","proj"
513,0,"pre","proj"
514,0,"pre","proj"
515,0,"pre","proj"
516,0,"pre","proj"
517,0,"pre","proj"
518,0,"pre","proj"
519,0,"pre","proj"
520,0,"pre","proj"
521,0,"pre","proj"
522,0,"pre","proj"
523,0,"pre","proj"
524,0,"pre","proj"
525,0,"pre","proj"
526,0,"pre","proj"
527,0,"pre","proj"
528,0,"pre","proj"
529,0,"pre","proj"
530,0,"pre","proj"
531,0,"pre","proj"
532,0,"pre","proj"
533,0,"pre","proj"
534,0,"pre","proj"
535,0,"pre","proj"
536,0,"pre","proj"
537,0,"pre","proj"
538,0,"pre","proj"
539,0,"pre","proj"
540,0,"pre","proj"
541,0,"pre","proj"
542,0,"pre","proj"
543,0,"pre","proj"
544,0,"pre","proj"
545,0,"pre","proj"
546,0,"pre","proj"
547,0,"pre","proj"
548,0,"pre","proj"
549,0,"pre","proj"
550,0,"pre","proj"
551,0,"pre","proj"
552,0,"pre","proj"
553,0,"pre","proj"
554,0,"pre","proj"
555,0,"pre","proj"
556,0,"pre","proj"
557,0,"pre","proj"
558,0,"pre","proj"
559,0,"pre","proj"
560,0,"pre","proj"
561,0,"pre","proj"
562,0,"pre","proj"
563,0,"pre","proj"
564,0,"pre","proj"
565,0,"pre","proj"
566,0,"pre","proj"
567,0,"pre","proj"
568,0,"pre","proj"
569,0,"pre","proj"
570,0,"pre","proj"
571,0,"pre","proj"
572,0,"pre","proj"
573,0,"pre","proj"
574,0,"pre","proj"
575,0,"pre","proj"
576,0,"pre","proj"
577,0,"pre","proj"
578,0,"pre","proj"
579,0,"pre","proj"
580,0,"pre","proj"
581,0,"pre","proj"
582,0,"pre","proj"
583,0,"pre","proj"
584,0,"pre","proj"
585,0,"pre","proj"
586,0,"pre","proj"
587,0,"pre","proj"
588,0,"pre","proj"
589,0,"pre","proj"
590,0,"pre","proj"
591,0,"pre","proj"
592,0,"pre","proj"
593,0,"pre","proj"
594,0,"pre","proj"
595,0,"pre","proj"
596,0,"pre","proj"
597,0,"pre","proj"
598,0,"pre","proj"
599,0,"pre","proj"
600,0,"pre","proj"
601,0,"pre","proj"
602,0,"pre","proj"
603,0,"pre","proj"
604,0,"pre","proj"
605,0,"pre","proj"
606,0,"pre","proj"
607,0,"pre","proj"
608,0,"pre","proj"
609,0,"pre","proj"
610,0,"pre","proj"
611,0,"pre","proj"
612,0,"pre","proj"
613,0,"pre","proj"
614,0,"pre","proj"
615,0,"pre","proj"
616,0,"pre","proj"
617,0,"pre","proj"
618,0,"pre","proj"
619,0,"pre","proj"
620,0,"pre","proj"
621,0,"pre","proj"
622,0,"pre","proj"
623,0,"pre","proj"
624,0,"pre","proj"
625,0,"pre","proj"
626,0,"pre","proj"
627,0,"pre","proj"
628,0,"pre","proj"
629,0,"pre","proj"
630,0,"pre","proj"
631,0,"pre","proj"
632,0,"pre","proj"
633,0,"pre","proj"
634,0,"pre","proj"
635,0,"pre","proj"
636,0,"pre","proj"
637,0,"pre","proj"
638,0,"pre","proj"
639,0,"pre","proj"
640,0,"pre","proj"
641,0,"pre","proj"
642,0,"pre","proj"
643,0,"pre","proj"
644,0,"pre","proj"
645,0,"pre","proj"
646,0,"pre","proj"
647,0,"pre","proj"
648,0,"pre","proj"
649,0,"pre","proj"
650,0,"pre","proj"
651,0,"pre","proj"
652,0,"pre","proj"
653,0,"pre","proj"
654,0,"pre","proj"
655,0,"pre","proj"
656,0,"pre","proj"
657,0,"pre","proj"
658,0,"pre","proj"
659,0,"pre","proj"
660,0,"pre","proj"
661,0,"pre","proj"
662,0,"pre","proj"
663,0,"pre","proj"
664,0,"pre","proj"
665,0,"pre","proj"
666,0,"pre","proj"
667,0,"pre","proj"
668,0,"pre","proj"
669,0,"pre","proj"
670,0,"pre","proj"
671,0,"pre","proj"
672,0,"pre","proj"
673,0,"pre","proj"
674,0,"pre","proj"
675,0,"pre","proj"
676,0,"pre","proj"
677,0,"pre","proj"
678,0,"pre","proj"
679,0,"pre","proj"
680,0,"pre","proj"
681,0,"pre","proj"
682,0,"pre","proj"
683,0,"pre","proj"
684,0,"pre","proj"
685,0,"pre","proj"
686,0,"pre","proj"
687,0,"pre","proj"
688,0,"pre","proj"
689,0,"pre","proj"
690,0,"pre","proj"
691,0,"pre","proj"
692,0,"pre","proj"
693,0,"pre","proj"
694,0,"pre","proj"
695,0,"pre","proj"
696,0,"pre","proj"
697,0,"pre","proj"
698,0,"pre","proj"
699,0,"pre","proj"
700,0,"pre","proj"
701,0,"pre","proj"
702,0,"pre","proj"
703,0,"pre","proj"
704,0,"pre","proj"
705,0,"pre","proj"
706,0,"pre","proj"
707,0,"pre","proj"
708,0,"pre","proj"
709,0,"pre","proj"
710,0,"pre","proj"
711,0,"pre","proj"
712,0,"pre","proj"
713,0,"pre","proj"
714,0,"pre","proj"
715,0,"pre","proj"
716,0,"pre","proj"
717,0,"pre","proj"
718,0,"pre","proj"
719,0,"pre","proj"
720,0,"pre","proj"
721,0,"pre","proj"
722,0,"pre","proj"
723,0,"pre","proj"
724,0,"pre","proj"
725,0,"pre","proj"
726,0,"pre","proj"
727,0,"pre","proj"
728,0,"pre","proj"
729,0,"pre","proj"
730,0,"pre","proj"
731,0,"pre","proj"
732,0,"pre","proj"
733,0,"pre","proj"
734,0,"pre","proj"
735,0,"pre","proj"
736,0,"pre","proj"
737,0,"pre","proj"
738,0,"pre","proj"
739,0,"pre","proj"
740,0,"pre","proj"
741,0,"pre","proj"
742,0,"pre","proj"
743,0,"pre","proj"
744,0,"pre","proj"
745,0,"pre","proj"
746,0,"pre","proj"
747,0,"pre","proj"
748,0,"pre","proj"
749,0,"pre","proj"
750,0,"pre","proj"
751,0,"pre","proj"
752,0,"pre","proj"
753,0,"pre","proj"
754,0,"pre","proj"
755,0,"pre","proj"
756,0,"pre","proj"
757,0,"pre","proj"
758,0,"pre","proj"
759,0,"pre","proj"
760,0,"pre","proj"
761,0,"pre","proj"
762,0,"pre","proj"
763,0,"pre","proj"
764,0,"pre","proj"
765,0,"pre","proj"
766,0,"pre","proj"
767,0,"pre","proj"
768,0,"pre","proj"
769,0,"pre","proj"
770,0,"pre","proj"
771,0,"pre","proj"
772,0,"pre","proj"
773,0,"pre","proj"
774,0,"pre","proj"
775,0,"pre","proj"
776,0,"pre","proj"
777,0,"pre","proj"
778,0,"pre","proj"
779,0,"pre","proj"
780,0,"pre","proj"
781,0,"pre","proj"
782,0,"pre","proj"
783,0,"pre","proj"
784,0,"pre","proj"
785,0,"pre","proj"
786,0,"pre","proj"
787,0,"pre","proj"
788,0,"pre","proj"
789,0,"pre","proj"
790,0,"pre","proj"
791,0,"pre","proj"
792,0,"pre","proj"
793,0,"pre","proj"
794,0,"pre","proj"
795,0,"pre","proj"
796,0,"pre","proj"
1,26,"post_1","proj"
2,21,"post_1","proj"
3,26,"post_1","proj"
4,15,"post_1","proj"
5,23,"post_1","proj"
6,23,"post_1","proj"
7,17,"post_1","proj"
8,17,"post_1","proj"
9,20,"post_1","proj"
10,21,"post_1","proj"
11,24,"post_1","proj"
12,23,"post_1","proj"
13,18,"post_1","proj"
14,23,"post_1","proj"
15,19,"post_1","proj"
16,18,"post_1","proj"
17,24,"post_1","proj"
18,20,"post_1","proj"
19,20,"post_1","proj"
20,26,"post_1","proj"
21,19,"post_1","proj"
22,21,"post_1","proj"
23,16,"post_1","proj"
24,20,"post_1","proj"
25,28,"post_1","proj"
26,21,"post_1","proj"
27,14,"post_1","proj"
28,33,"post_1","proj"
29,21,"post_1","proj"
30,37,"post_1","proj"
31,22,"post_1","proj"
32,20,"post_1","proj"
33,17,"post_1","proj"
34,25,"post_1","proj"
35,22,"post_1","proj"
36,21,"post_1","proj"
37,26,"post_1","proj"
38,29,"post_1","proj"
39,32,"post_1","proj"
40,22,"post_1","proj"
41,31,"post_1","proj"
42,28,"post_1","proj"
43,12,"post_1","proj"
44,21,"post_1","proj"
45,16,"post_1","proj"
46,26,"post_1","proj"
47,17,"post_1","proj"
48,18,"post_1","proj"
49,19,"post_1","proj"
50,26,"post_1","proj"
51,20,"post_1","proj"
52,23,"post_1","proj"
53,15,"post_1","proj"
54,19,"post_1","proj"
55,28,"post_1","proj"
56,22,"post_1","proj"
57,18,"post_1","proj"
58,24,"post_1","proj"
59,28,"post_1","proj"
60,26,"post_1","proj"
61,25,"post_1","proj"
62,21,"post_1","proj"
63,20,"post_1","proj"
64,25,"post_1","proj"
65,30,"post_1","proj"
66,24,"post_1","proj"
67,16,"post_1","proj"
68,25,"post_1","proj"
69,19,"post_1","proj"
70,20,"post_1","proj"
71,22,"post_1","proj"
72,26,"post_1","proj"
73,23,"post_1","proj"
74,21,"post_1","proj"
75,26,"post_1","proj"
76,29,"post_1","proj"
77,23,"post_1","proj"
78,27,"post_1","proj"
79,23,"post_1","proj"
80,30,"post_1","proj"
81,16,"post_1","proj"
82,26,"post_1","proj"
83,29,"post_1","proj"
84,25,"post_1","proj"
85,28,"post_1","proj"
86,30,"post_1","proj"
87,13,"post_1","proj"
88,22,"post_1","proj"
89,23,"post_1","proj"
90,15,"post_1","proj"
91,21,"post_1","proj"
92,20,"post_1","proj"
93,24,"post_1","proj"
94,23,"post_1","proj"
95,16,"post_1","proj"
96,20,"post_1","proj"
97,24,"post_1","proj"
98,30,"post_1","proj"
99,25,"post_1","proj"
100,28,"post_1","proj"
101,20,"post_1","proj"
102,27,"post_1","proj"
103,29,"post_1","proj"
104,29,"post_1","proj"
105,19,"post_1","proj"
106,20,"post_1","proj"
107,22,"post_1","proj"
108,29,"post_1","proj"
109,24,"post_1","proj"
110,19,"post_1","proj"
111,28,"post_1","proj"
112,25,"post_1","proj"
113,16,"post_1","proj"
114,24,"post_1","proj"
115,23,"post_1","proj"
116,32,"post_1","proj"
117,17,"post_1","proj"
118,20,"post_1","proj"
119,13,"post_1","proj"
120,23,"post_1","proj"
121,26,"post_1","proj"
122,33,"post_1","proj"
123,18,"post_1","proj"
124,22,"post_1","proj"
125,34,"post_1","proj"
126,16,"post_1","proj"
127,18,"post_1","proj"
128,26,"post_1","proj"
129,15,"post_1","proj"
130,24,"post_1","proj"
131,31,"post_1","proj"
132,29,"post_1","proj"
133,19,"post_1","proj"
134,19,"post_1","proj"
135,22,"post_1","proj"
136,20,"post_1","proj"
137,25,"post_1","proj"
138,31,"post_1","proj"
139,21,"post_1","proj"
140,17,"post_1","proj"
141,21,"post_1","proj"
142,21,"post_1","proj"
143,26,"post_1","proj"
144,19,"post_1","proj"
145,15,"post_1","proj"
146,19,"post_1","proj"
147,25,"post_1","proj"
148,16,"post_1","proj"
149,26,"post_1","proj"
150,17,"post_1","proj"
151,27,"post_1","proj"
152,19,"post_1","proj"
153,17,"post_1","proj"
154,17,"post_1","proj"
155,19,"post_1","proj"
156,25,"post_1","proj"
157,21,"post_1","proj"
158,24,"post_1","proj"
159,24,"post_1","proj"
160,32,"post_1","proj"
161,21,"post_1","proj"
162,25,"post_1","proj"
163,16,"post_1","proj"
164,21,"post_1","proj"
165,23,"post_1","proj"
166,31,"post_1","proj"
167,28,"post_1","proj"
168,16,"post_1","proj"
169,29,"post_1","proj"
170,20,"post_1","proj"
171,21,"post_1","proj"
172,27,"post_1","proj"
173,27,"post_1","proj"
174,19,"post_1","proj"
175,31,"post_1","proj"
176,27,"post_1","proj"
177,31,"post_1","proj"
178,20,"post_1","proj"
179,16,"post_1","proj"
180,31,"post_1","proj"
181,28,"post_1","proj"
182,17,"post_1","proj"
183,20,"post_1","proj"
184,21,"post_1","proj"
185,29,"post_1","proj"
186,25,"post_1","proj"
187,28,"post_1","proj"
188,21,"post_1","proj"
189,18,"post_1","proj"
190,30,"post_1","proj"
191,28,"post_1","proj"
192,31,"post_1","proj"
193,25,"post_1","proj"
194,31,"post_1","proj"
195,19,"post_1","proj"
196,26,"post_1","proj"
197,42,"post_1","proj"
198,21,"post_1","proj"
199,20,"post_1","proj"
200,27,"post_1","proj"
201,26,"post_1","proj"
202,19,"post_1","proj"
203,22,"post_1","proj"
204,22,"post_1","proj"
205,23,"post_1","proj"
206,20,"post_1","proj"
207,18,"post_1","proj"
208,18,"post_1","proj"
209,22,"post_1","proj"
210,23,"post_1","proj"
211,20,"post_1","proj"
212,16,"post_1","proj"
213,31,"post_1","proj"
214,12,"post_1","proj"
215,24,"post_1","proj"
216,22,"post_1","proj"
217,25,"post_1","proj"
218,30,"post_1","proj"
219,22,"post_1","proj"
220,23,"post_1","proj"
221,18,"post_1","proj"
222,10,"post_1","proj"
223,25,"post_1","proj"
224,18,"post_1","proj"
225,20,"post_1","proj"
226,24,"post_1","proj"
227,20,"post_1","proj"
228,26,"post_1","proj"
229,30,"post_1","proj"
230,11,"post_1","proj"
231,20,"post_1","proj"
232,25,"post_1","proj"
233,26,"post_1","proj"
234,16,"post_1","proj"
235,21,"post_1","proj"
236,22,"post_1","proj"
237,22,"post_1","proj"
238,29,"post_1","proj"
239,30,"post_1","proj"
240,25,"post_1","proj"
241,18,"post_1","proj"
242,32,"post_1","proj"
243,26,"post_1","proj"
244,29,"post_1","proj"
245,28,"post_1","proj"
246,24,"post_1","proj"
247,30,"post_1","proj"
248,23,"post_1","proj"
249,24,"post_1","proj"
250,25,"post_1","proj"
251,17,"post_1","proj"
252,15,"post_1","proj"
253,27,"post_1","proj"
254,24,"post_1","proj"
255,27,"post_1","proj"
256,20,"post_1","proj"
257,15,"post_1","proj"
258,22,"post_1","proj"
259,21,"post_1","proj"
260,21,"post_1","proj"
261,30,"post_1","proj"
262,23,"post_1","proj"
263,32,"post_1","proj"
264,16,"post_1","proj"
265,24,"post_1","proj"
266,28,"post_1","proj"
267,21,"post_1","proj"
268,26,"post_1","proj"
269,20,"post_1","proj"
270,20,"post_1","proj"
271,25,"post_1","proj"
272,22,"post_1","proj"
273,25,"post_1","proj"
274,27,"post_1","proj"
275,21,"post_1","proj"
276,26,"post_1","proj"
277,24,"post_1","proj"
278,27,"post_1","proj"
279,35,"post_1","proj"
280,18,"post_1","proj"
281,18,"post_1","proj"
282,25,"post_1","proj"
283,21,"post_1","proj"
284,24,"post_1","proj"
285,27,"post_1","proj"
286,26,"post_1","proj"
287,21,"post_1","proj"
288,24,"post_1","proj"
289,28,"post_1","proj"
290,24,"post_1","proj"
291,24,"post_1","proj"
292,23,"post_1","proj"
293,19,"post_1","proj"
294,28,"post_1","proj"
295,27,"post_1","proj"
296,20,"post_1","proj"
297,24,"post_1","proj"
298,25,"post_1","proj"
299,15,"post_1","proj"
300,22,"post_1","proj"
301,17,"post_1","proj"
302,25,"post_1","proj"
303,26,"post_1","proj"
304,30,"post_1","proj"
305,22,"post_1","proj"
306,27,"post_1","proj"
307,25,"post_1","proj"
308,20,"post_1","proj"
309,23,"post_1","proj"
310,25,"post_1","proj"
311,26,"post_1","proj"
312,17,"post_1","proj"
313,21,"post_1","proj"
314,17,"post_1","proj"
315,21,"post_1","proj"
316,25,"post_1","proj"
317,19,"post_1","proj"
318,27,"post_1","proj"
319,26,"post_1","proj"
320,23,"post_1","proj"
321,24,"post_1","proj"
322,32,"post_1","proj"
323,25,"post_1","proj"
324,22,"post_1","proj"
325,22,"post_1","proj"
326,25,"post_1","proj"
327,24,"post_1","proj"
328,29,"post_1","proj"
329,33,"post_1","proj"
330,29,"post_1","proj"
331,16,"post_1","proj"
332,31,"post_1","proj"
333,19,"post_1","proj"
334,21,"post_1","proj"
335,20,"post_1","proj"
336,22,"post_1","proj"
337,28,"post_1","proj"
338,22,"post_1","proj"
339,26,"post_1","proj"
340,19,"post_1","proj"
