"survey_date","project_name","site","time","transect","distance_ft","depth_mllw_ft","eg_shoots","bed_patch","density","eq_PA","substrate","notes"
"6/24/2024","Worked Example","project","preliminary","T1",44.37,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",45.24,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",46.11,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",46.98,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",47.85,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",48.72,NA,5,"bed",19,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",49.59,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",50.46,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",51.33,NA,4,"bed",16,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",52.2,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",53.07,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",53.94,NA,8,"bed",31,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",54.81,NA,8,"bed",34,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",55.68,NA,8,"bed",34,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",56.55,NA,8,"bed",34,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",57.42,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",58.29,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",59.16,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",60.03,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",60.9,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",61.77,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",62.64,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",63.51,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",64.38,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",65.25,NA,8,"bed",32,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",66.12,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",66.99,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",67.86,NA,8,"bed",34,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",68.73,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",69.6,NA,5,"bed",19,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",70.47,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",71.34,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",72.21,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",73.08,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",73.95,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",74.82,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",75.69,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",76.56,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",77.43,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",78.3,NA,10,"bed",41,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",79.17,NA,4,"bed",15,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",80.04,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",80.91,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",81.78,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",82.65,NA,7,"bed",28,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",83.52,NA,8,"bed",34,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",84.39,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",85.26,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",86.13,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",87,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",87.87,NA,8,"bed",31,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",88.74,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T1",89.61,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",0,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",0.87,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",1.74,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",2.61,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",3.48,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",4.35,NA,4,"bed",14,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",5.22,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",6.09,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",6.96,NA,4,"bed",16,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",7.83,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",8.7,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",9.57,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",10.44,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",11.31,NA,7,"bed",28,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",12.18,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",13.05,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",13.92,NA,4,"bed",16,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",14.79,NA,7,"bed",28,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",15.66,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",16.53,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",17.4,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",18.27,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",19.14,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",20.01,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",20.88,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",21.75,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",22.62,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",23.49,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",24.36,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",25.23,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",26.1,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",26.97,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",27.84,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",28.71,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",29.58,NA,5,"bed",19,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",30.45,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",31.32,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",32.19,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",33.06,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",33.93,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",34.8,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",35.67,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",36.54,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",37.41,NA,9,"bed",37,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",38.28,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",39.15,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",40.02,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",40.89,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",41.76,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",42.63,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",43.5,NA,4,"bed",17,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",44.37,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",45.24,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",46.11,NA,7,"bed",28,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",46.98,NA,4,"bed",16,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",47.85,NA,4,"bed",15,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",48.72,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",49.59,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",50.46,NA,5,"bed",19,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",51.33,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",52.2,NA,8,"bed",32,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",53.07,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",53.94,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",54.81,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",55.68,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",56.55,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",57.42,NA,4,"bed",17,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",58.29,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",59.16,NA,7,"bed",28,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",60.03,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",60.9,NA,4,"bed",15,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",61.77,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",62.64,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",63.51,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",64.38,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",65.25,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",66.12,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",66.99,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",67.86,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",68.73,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",69.6,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",70.47,NA,8,"bed",31,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",71.34,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",72.21,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",73.08,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",73.95,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",74.82,NA,4,"bed",16,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",75.69,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",76.56,NA,3,"bed",13,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",77.43,NA,4,"bed",16,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",78.3,NA,8,"bed",31,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",79.17,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",80.04,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",80.91,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",81.78,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",82.65,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",83.52,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",84.39,NA,8,"bed",31,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",85.26,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",86.13,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",87,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",87.87,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",88.74,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",89.61,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",90.48,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",91.35,NA,5,"bed",19,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",92.22,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",93.09,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",93.96,NA,4,"bed",17,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",94.83,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",95.7,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",96.57,NA,4,"bed",14,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",97.44,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",98.31,NA,4,"bed",16,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T2",99.18,NA,8,"bed",31,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",0,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",0.87,NA,4,"bed",16,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",1.74,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",2.61,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",3.48,NA,9,"bed",36,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",4.35,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",5.22,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",6.09,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",6.96,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",7.83,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",8.7,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",9.57,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",10.44,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",11.31,NA,4,"bed",14,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",12.18,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",13.05,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",13.92,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",14.79,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",15.66,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",16.53,NA,7,"bed",28,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",17.4,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",18.27,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",19.14,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",20.01,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",20.88,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",21.75,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",22.62,NA,4,"bed",17,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",23.49,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",24.36,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",25.23,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",26.1,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",26.97,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",27.84,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",28.71,NA,5,"bed",19,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",29.58,NA,8,"bed",33,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",30.45,NA,10,"bed",38,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",31.32,NA,8,"bed",31,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",32.19,NA,8,"bed",33,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",33.06,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",33.93,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",34.8,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",35.67,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",36.54,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",37.41,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",38.28,NA,6,"bed",26,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",39.15,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",40.02,NA,9,"bed",37,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",40.89,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",41.76,NA,7,"bed",28,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",42.63,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",43.5,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",44.37,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",45.24,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",46.11,NA,5,"bed",21,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",46.98,NA,8,"bed",30,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",47.85,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",48.72,NA,5,"bed",19,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",49.59,NA,9,"bed",36,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",50.46,NA,6,"bed",22,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",51.33,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",52.2,NA,4,"bed",18,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",53.07,NA,6,"bed",25,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",53.94,NA,7,"bed",27,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",54.81,NA,7,"bed",28,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",55.68,NA,6,"bed",24,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",56.55,NA,6,"bed",23,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",57.42,NA,7,"bed",29,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",58.29,NA,5,"bed",19,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",59.16,NA,5,"bed",20,NA,NA,NA
"6/24/2024","Worked Example","project","preliminary","T3",60.03,NA,6,"bed",24,NA,NA,NA
